Revenue Center,Item Qty,Net Sales,Discount Amount,Gross Sales,Tax Amount,date
Cutwater Tiki Rum Punch,8,96.0,0.0,96.0,0.0,2023-05-24
Rescue Club Pils N/A,1,8.0,0.0,8.0,0.0,2023-05-24
von Trapp Helles DFT,16,128.0,0.0,128.0,0.0,2023-05-24
Finnish Long Drink,2,20.0,0.0,20.0,0.0,2023-05-24
Soft Pretzel,95,375.34,0.0,375.34,40.66,2023-05-24
Hamburger,11,74.25,0.0,74.25,8.25,2023-05-24
802 Bar,1,3.61,0.0,3.61,0.39,2023-05-24
Popcorn,46,166.06,0.0,166.06,17.94,2023-05-24
Fries,17,69.02,0.0,69.02,7.48,2023-05-24
Peanuts,5,18.05,0.0,18.05,1.95,2023-05-24
Cracker Jacks,4,18.04,0.0,18.04,1.96,2023-05-24
Boneless Wings & Fries,14,113.54,0.0,113.54,12.46,2023-05-24
Fried Dough w/ Chicken,14,126.14,0.0,126.14,13.86,2023-05-24
Season Ticket Holder Soda,12,10.8,0.0,10.8,1.2,2023-05-24
Devil's Backbone Margarita,10,120.0,0.0,120.0,0.0,2023-05-24
14th Star Baseline,9,72.0,0.0,72.0,0.0,2023-05-24
Fiddlehead IPA DFT,6,48.0,0.0,48.0,0.0,2023-05-24
Queen City Porter DFT,2,16.0,0.0,16.0,0.0,2023-05-24
Nutrl Watermelon Vodka,1,10.0,0.0,10.0,0.0,2023-05-24
ZG Lake Monster Light DFT,9,54.0,0.0,54.0,0.0,2023-05-24
Citizen Cider DFT,2,16.0,0.0,16.0,0.0,2023-05-24
Agrumata Italian Soda,3,12.18,0.0,12.18,1.32,2023-05-24
Mushroom Pizza,27,340.74,0.0,340.74,37.26,2023-05-24
Cheese Pizza,37,399.97,0.0,399.97,44.03,2023-05-24
Pepperoni Pizza,77,971.74,0.0,971.74,106.26,2023-05-24
Emp pep,3,16.2,0.0,16.2,1.8,2023-05-24
Emp chz,5,27.0,0.0,27.0,3.0,2023-05-24
Cotton Candy,1,3.61,0.0,3.61,0.39,2023-05-24
Large Ice Cream,15,71.82,15.03,86.85,7.93,2023-05-24
Small Ice Cream,23,91.09,0.0,91.09,9.91,2023-05-24
Lucky Row Scoop,5,0.0,0.0,0.0,0.0,2023-05-24
Popcorn,1,3.61,0.0,3.61,0.39,2023-05-24
Dippin Dots,92,579.6,0.0,579.6,64.4,2023-05-24
Fountain Soda,13,35.23,0.0,35.23,3.77,2023-05-24
Baseball Brim Cap,1,18.99,0.0,18.99,0.0,2023-05-24
Bottled Water,4,9.04,0.0,9.04,0.96,2023-05-24
Poutine w/ Chicken,10,117.2,0.0,117.2,12.8,2023-05-24
Deep River Chips,17,46.07,0.0,46.07,4.93,2023-05-24
Powerade,8,23.7,1.58,25.28,2.55,2023-05-24
Kids Eat Free,64,0.0,0.0,0.0,0.0,2023-05-24
Cotton Candy,12,43.32,0.0,43.32,4.68,2023-05-24
Garden Salad,1,9.91,0.0,9.91,1.09,2023-05-24
Hot Dog & Soda,1,0.0,0.0,0.0,0.0,2023-05-24
Double Hamburger,2,21.62,0.0,21.62,2.38,2023-05-24
Citizen Cider DFT,4,32.0,0.0,32.0,0.0,2023-05-24
Queen City Porter DFT,6,48.0,0.0,48.0,0.0,2023-05-24
14th Star Baseline,15,120.0,0.0,120.0,0.0,2023-05-24
Long Trail Ale DFT,1,8.0,0.0,8.0,0.0,2023-05-24
Fiddlehead IPA DFT,36,288.0,0.0,288.0,0.0,2023-05-24
Finnish Long Drink,2,20.0,0.0,20.0,0.0,2023-05-24
ZG Lake Monster Light DFT,16,96.0,0.0,96.0,0.0,2023-05-24
Barefoot Pinot Grigio,1,8.0,0.0,8.0,0.0,2023-05-24
Stella Can,5,40.0,0.0,40.0,0.0,2023-05-24
Fiddlehead Wit DFT,14,112.0,0.0,112.0,0.0,2023-05-24
Nutrl Watermelon Vodka,4,40.0,0.0,40.0,0.0,2023-05-24
Bud Light DFT,4,24.0,0.0,24.0,0.0,2023-05-24
Dr. Pepper BTL,1,3.16,0.0,3.16,0.34,2023-05-24
Bottled Water,2,4.52,0.0,4.52,0.48,2023-05-24
Coke BTL,2,6.32,0.0,6.32,0.68,2023-05-24
Fanta BTL,2,6.32,0.0,6.32,0.68,2023-05-24
ZG Conehead IPA DFT,6,48.0,0.0,48.0,0.0,2023-05-24
White Claw Mango,2,16.0,0.0,16.0,0.0,2023-05-24
Cutwater Tiki Rum Punch,3,36.0,0.0,36.0,0.0,2023-05-24
Fried Dough,92,576.46,3.14,579.6,64.04,2023-05-24
Poutine,26,234.26,0.0,234.26,25.74,2023-05-24
LM Shot glass,2,13.98,0.0,13.98,1.54,2023-05-24
Bottled Water,1,1.13,1.13,2.26,0.12,2023-05-24
Youth Primary Logo Tee Pink-XL,1,21.99,0.0,21.99,0.0,2023-05-24
Champ Logo Hoodie- Royal-2XL,1,49.99,0.0,49.99,0.0,2023-05-24
Nike Dri-Fit Long Sleeve- Green- L,2,74.0,10.0,84.0,0.0,2023-05-24
Ladie's Blackbird Tank Top- Heather Navy- L,1,28.99,0.0,28.99,0.0,2023-05-24
90's Retro Staple Hat- White,1,34.99,0.0,34.99,0.0,2023-05-24
White Replica Jersey- L,1,80.0,0.0,80.0,0.0,2023-05-24
Youth Primary Logo Tee Pink-L,1,21.99,0.0,21.99,0.0,2023-05-24
Primary Logo Tee- Navy- L,1,25.99,0.0,25.99,0.0,2023-05-24
Beer. Baseball. Tee- Vintage Navy-L,1,25.99,0.0,25.99,0.0,2023-05-24
Bumper Sticker,1,4.99,0.0,4.99,0.55,2023-05-24
Beer. Baseball Tee- Royal- L,2,49.38,2.6,51.98,0.0,2023-05-24
Tie Dyed Souvenir Baseball,4,32.0,0.0,32.0,3.52,2023-05-24
Infant Alphabet Mascot Tee- 12 mo,1,15.99,0.0,15.99,0.0,2023-05-24
Home Plate Scoop Tee- M,1,31.99,0.0,31.99,0.0,2023-05-24
White/Silver Metallic Souvenir Baseball,1,8.0,0.0,8.0,0.88,2023-05-24
OC Camo Mesh Trucker,1,23.99,0.0,23.99,0.0,2023-05-24
VT Expos Stretch Fit Cap- XS,1,29.99,0.0,29.99,0.0,2023-05-24
Centennial Field Sunset,2,11.98,0.0,11.98,1.32,2023-05-24
Champ Logo Hoodie- Graphite Heather- S,1,49.99,0.0,49.99,0.0,2023-05-24
Champ Blanket,21,505.0,20.0,525.0,55.55,2023-05-24
Maple Syrup,1,5.0,0.0,5.0,0.55,2023-05-24
$0.25 Hot Dog Hysteria Replica Jersey- XL,1,80.0,0.0,80.0,0.0,2023-05-24
Champ Pin,1,5.63,0.62,6.25,0.62,2023-05-24
VLM Home Onfield Stretch Fit Cap- M,7,209.93,0.0,209.93,0.0,2023-05-24
Clear Plastic Rain Poncho,2,4.0,0.0,4.0,0.0,2023-05-24
Document Tee- Vintage Smoke- M,1,26.99,0.0,26.99,0.0,2023-05-24
3/4 Raglan Expos Tee- Gray/Navy- XL,1,26.99,0.0,26.99,0.0,2023-05-24
Champ Logo 3/4 Raglan Tee- L,1,26.99,0.0,26.99,0.0,2023-05-24
Champ Plush Doll,6,89.94,0.0,89.94,9.9,2023-05-24
Nike Quarter Zip- Black- L,1,65.0,0.0,65.0,0.0,2023-05-24
VLM Away Onfield Stretch Fit Cap- L,2,56.98,3.0,59.98,0.0,2023-05-24
Champ Logo Hoodie- Graphite Heather- L,3,149.97,0.0,149.97,0.0,2023-05-24
VLM Tote Bag,2,10.0,0.0,10.0,1.1,2023-05-24
Vermont Lake Monsters Shield,1,4.99,0.0,4.99,0.55,2023-05-24
Cheeseburger,21,144.21,7.2,151.41,15.79,2023-05-24
Bottled Water,9,20.34,0.0,20.34,2.16,2023-05-24
Boneless Wings & Fries,28,228.88,0.0,228.88,25.12,2023-05-24
Double Cheeseburger,8,90.08,0.0,90.08,9.92,2023-05-24
BBQ Pork Sandwich,3,18.03,3.6,21.63,1.97,2023-05-24
Powerade,2,6.32,0.0,6.32,0.68,2023-05-24
Loaded Fries Chicken,7,63.07,0.0,63.07,6.93,2023-05-24
BBQ Chicken Sandwich,5,36.05,0.0,36.05,3.95,2023-05-24
Loaded Fries Pork,3,18.03,9.0,27.03,1.97,2023-05-24
Hamburger,2,13.5,0.0,13.5,1.5,2023-05-24
Fries,69,278.11,2.03,280.14,30.14,2023-05-24
"Footlong ""Monster"" Dog",29,143.55,0.0,143.55,15.95,2023-05-24
Kids Eat Free,25,0.0,0.0,0.0,0.0,2023-05-24
Bottled Soda,29,91.62,0.0,91.62,9.88,2023-05-24
Italian Sausage w/ Peppers & Onions,13,93.73,0.0,93.73,10.27,2023-05-24
Fiddlehead IPA DFT,10,80.0,0.0,80.0,0.0,2023-05-24
Stella Can,4,32.0,0.0,32.0,0.0,2023-05-24
14th Star Baseline,5,40.0,0.0,40.0,0.0,2023-05-24
Finnish Long Drink,1,10.0,0.0,10.0,0.0,2023-05-24
Cider Can,1,8.0,0.0,8.0,0.0,2023-05-24
Kona Golden Ale DFT,4,24.0,0.0,24.0,0.0,2023-05-24
Devil's Backbone Margarita,2,24.0,0.0,24.0,0.0,2023-05-24
Nike Therma Hoodie- L,1,65.0,0.0,65.0,0.0,2023-05-24
White Souvenir Baseball,8,64.0,0.0,64.0,7.04,2023-05-24
Gear Tee- Heather Kelly Green- L,2,57.98,0.0,57.98,0.0,2023-05-24
Maple Kings Youth Infielder Cap,1,16.99,0.0,16.99,0.0,2023-05-24
Patriotic Baseball,1,8.0,0.0,8.0,0.88,2023-05-24
Champ Logo Hoodie- Navy- L,6,289.94,10.0,299.94,0.0,2023-05-24
Hot Dog,40,131.82,3.38,135.2,14.42,2023-05-24
$0.25 Hot Dog Hysteria Replica Jersey- 3XL,1,80.0,0.0,80.0,0.0,2023-05-24
Youth Champ Logo Hooded Sweatshirt- Royal- L,3,119.97,0.0,119.97,0.0,2023-05-24
White Replica Jersey- XL,1,80.0,0.0,80.0,0.0,2023-05-24
Nike Therma Hoodie- 3XL,1,65.0,0.0,65.0,0.0,2023-05-24
Clean-Up Cap VT State,1,28.99,0.0,28.99,0.0,2023-05-24
Labor Tee- Vintage Navy- M,2,57.98,0.0,57.98,0.0,2023-05-24
Varsity Sherpa- L,1,84.99,0.0,84.99,0.0,2023-05-24
Champ Play Ball Cap,3,50.97,0.0,50.97,0.0,2023-05-24
Glow In The Dark Souvenir Baseball,1,8.0,0.0,8.0,0.88,2023-05-24
VLM Foam Claw,5,44.95,0.0,44.95,4.95,2023-05-24
6 Sticker Pack,1,6.0,0.0,6.0,0.66,2023-05-24
Champ Tattoo,3,1.5,0.0,1.5,0.15,2023-05-24
Champ Logo Hoodie- Navy- S,1,49.99,0.0,49.99,0.0,2023-05-24
Cross Bone Cap,2,57.98,0.0,57.98,0.0,2023-05-24
Champ Logo Tee Vintage Navy- L,1,25.99,0.0,25.99,0.0,2023-05-24
Beer. Baseball Tee- Royal- XL,1,25.99,0.0,25.99,0.0,2023-05-24
Youth Champ Logo Hooded Sweatshirt- Royal- S,1,39.99,0.0,39.99,0.0,2023-05-24
OC Mountain Patch Cap,1,28.99,0.0,28.99,0.0,2023-05-24
OC Baseline Classic Champ Cap- Navy,4,95.96,0.0,95.96,0.0,2023-05-24
Foam hotdog Hats,3,29.97,0.0,29.97,3.3,2023-05-24
OC Baseline Classic Expos Cap- Royal,2,47.98,0.0,47.98,0.0,2023-05-24
Employee Hat,2,47.98,0.0,47.98,0.0,2023-05-24
Maple King Pint glass,2,23.98,0.0,23.98,2.64,2023-05-24
Dig In Bracelet,15,75.0,0.0,75.0,8.25,2023-05-24
Champ Logo Hoodie- Royal- S,1,39.99,10.0,49.99,0.0,2023-05-24
OC Walk Off Diamond Patch Black Cap,1,26.99,0.0,26.99,0.0,2023-05-24
Cap Logo Tee- Gray- M,1,22.99,0.0,22.99,0.0,2023-05-24
Champ Logo Hoodie- Graphite Heather- 2XL,2,99.98,0.0,99.98,0.0,2023-05-24
Seat Cushion,1,11.99,0.0,11.99,1.32,2023-05-24
Replica Expos Jersey- L,1,75.0,0.0,75.0,0.0,2023-05-24
Youth Champ Logo Hooded Sweatshirt- Royal- M,4,159.96,0.0,159.96,0.0,2023-05-24
Retro Sunset,2,13.98,0.0,13.98,1.54,2023-05-24
Large Baseball Card Pack,11,109.89,0.0,109.89,12.1,2023-05-24
Maple Kings Stretch Fit Cap- Dark Navy- L,1,29.99,0.0,29.99,0.0,2023-05-24
VLM #1 Foam Finger- Green,6,35.94,0.0,35.94,3.96,2023-05-24
Primary Logo Tee- Gray- S,1,25.99,0.0,25.99,0.0,2023-05-24
Soft Champ Logo Baseball,3,17.97,0.0,17.97,1.98,2023-05-24
LM mug,1,11.99,0.0,11.99,1.32,2023-05-24
Nike Golf Victory Polo- Black- L,1,49.99,0.0,49.99,0.0,2023-05-24
Champ Logo Hoodie- Royal-L,1,49.99,0.0,49.99,0.0,2023-05-24
Champ Play Ball,3,14.97,0.0,14.97,1.65,2023-05-24
Youth Primary Logo Tee Royal- XL,1,21.99,0.0,21.99,0.0,2023-05-24
Large Champ Logo Stretch Fit Cap- Navy- M,1,29.99,0.0,29.99,0.0,2023-05-24
Youth Primary Logo Tee Royal- S,1,21.99,0.0,21.99,0.0,2023-05-24
Primary Logo Tee- Mauve- XL,1,26.99,0.0,26.99,0.0,2023-05-24
Pen,1,1.99,0.0,1.99,0.22,2023-05-24
Champ Logo Hoodie- Navy- M,2,99.98,0.0,99.98,0.0,2023-05-24
Green/Blue Plaid Baseball,1,8.0,0.0,8.0,0.88,2023-05-24
White Replica Jersey- M,1,80.0,0.0,80.0,0.0,2023-05-24
Retro Staple Crewneck- Heather White- L,1,38.99,0.0,38.99,0.0,2023-05-24
Nike Quarter Zip- Black- S,1,65.0,0.0,65.0,0.0,2023-05-24
Champ Logo Keychain,6,36.0,0.0,36.0,3.96,2023-05-24
Small Baseball Card Pack,5,14.95,0.0,14.95,1.65,2023-05-24
Retro Staple Crewneck- Heather White- 2XL,1,38.99,0.0,38.99,0.0,2023-05-24
All-Star Hoodie Gray- L,2,99.98,0.0,99.98,0.0,2023-05-24
Vermont Expos Tee- Vintage Navy- M,1,25.99,0.0,25.99,0.0,2023-05-24
Labor Tee- Vintage Navy- L,1,28.99,0.0,28.99,0.0,2023-05-24
VT Expos Stretch Fit Cap- S,1,29.99,0.0,29.99,0.0,2023-05-24
VLM Home Onfield Stretch Fit Cap- XL,1,29.99,0.0,29.99,0.0,2023-05-24
Beer. Baseball. Tee- Vintage Navy-XL,1,25.99,0.0,25.99,0.0,2023-05-24
90's Retro Classic Script Hat- Navy,3,104.97,0.0,104.97,0.0,2023-05-24
Champ-ta Claus,6,95.94,0.0,95.94,10.56,2023-05-24
All-Star Hoodie Gray- S,1,49.99,0.0,49.99,0.0,2023-05-24
Champ Logo Pint Glass,2,23.98,0.0,23.98,2.64,2023-05-24
Fries,44,178.64,0.0,178.64,19.36,2023-05-25
Bottled Soda,21,66.32,0.0,66.32,7.18,2023-05-25
Loaded Fries Chicken,1,9.01,0.0,9.01,0.99,2023-05-25
Italian Sausage w/ Peppers & Onions,4,25.24,3.6,28.84,2.76,2023-05-25
Loaded Fries Pork,4,31.54,4.5,36.04,3.46,2023-05-25
Hot Dog & Soda,2,0.0,0.0,0.0,0.0,2023-05-25
BBQ Chicken Sandwich,3,21.63,0.0,21.63,2.37,2023-05-25
Bottled Water,7,15.82,0.0,15.82,1.68,2023-05-25
Nutrl Watermelon Vodka,4,36.04,0.0,36.04,3.96,2023-05-25
Powerade,1,3.16,0.0,3.16,0.34,2023-05-25
Fiddlehead Wit DFT,4,28.84,0.0,28.84,3.16,2023-05-25
Fiddlehead IPA DFT,10,72.1,0.0,72.1,7.9,2023-05-25
Barefoot Pinot Noir,2,14.42,0.0,14.42,1.58,2023-05-25
Peanuts,3,10.83,0.0,10.83,1.17,2023-05-25
Cracker Jacks,2,6.77,2.25,9.02,0.73,2023-05-25
14th Star Baseline,7,50.47,0.0,50.47,5.53,2023-05-25
ZG Lake Monster Light DFT,6,32.4,0.0,32.4,3.6,2023-05-25
White Claw Mango,2,14.42,0.0,14.42,1.58,2023-05-25
Rescue Club IPA N/A,1,7.21,0.0,7.21,0.79,2023-05-25
Hot Dog,26,87.88,0.0,87.88,9.62,2023-05-25
Long Trail Ale DFT,3,21.63,0.0,21.63,2.37,2023-05-25
ZG Conehead IPA DFT,2,14.42,0.0,14.42,1.58,2023-05-25
Cheeseburger,14,93.74,7.2,100.94,10.26,2023-05-25
Document Tee- Vintage Smoke- 3XL,1,26.99,0.0,26.99,0.0,2023-05-25
Powerade,3,7.9,1.58,9.48,0.85,2023-05-25
Gear Tee- Heather Kelly Green- XL,1,28.99,0.0,28.99,0.0,2023-05-25
Stella Can,1,7.21,0.0,7.21,0.79,2023-05-25
Primary Logo Tee- Gray- S,2,51.98,0.0,51.98,0.0,2023-05-25
Champ Play Ball Cap,1,16.99,0.0,16.99,0.0,2023-05-25
Nike Franchise Polo-Black- L,1,47.99,12.0,59.99,0.0,2023-05-25
Green/Blue Plaid Baseball,3,24.0,0.0,24.0,2.64,2023-05-25
Primary Logo Tee- Mauve- XL,1,24.29,2.7,26.99,0.0,2023-05-25
VT Expos Stretch Fit Cap- XL,1,29.99,0.0,29.99,0.0,2023-05-25
Vermont Expos Tee- Heather Gray- XXL,1,25.99,0.0,25.99,0.0,2023-05-25
Clean-Up Cap VT State,1,28.99,0.0,28.99,0.0,2023-05-25
Popcorn,1,3.61,0.0,3.61,0.39,2023-05-25
Small Ice Cream,29,108.74,0.0,108.74,11.76,2023-05-25
Bottled Water,5,11.3,0.0,11.3,1.2,2023-05-25
Lucky Row Scoop,7,0.0,0.0,0.0,0.0,2023-05-25
Yellow Scoop,19,0.0,0.0,0.0,0.0,2023-05-25
802 Bar,3,10.83,0.0,10.83,1.17,2023-05-25
Large Ice Cream,20,109.82,5.38,115.2,12.18,2023-05-25
"Footlong ""Monster"" Dog",8,37.13,2.47,39.6,4.12,2023-05-25
Boneless Wings & Fries,16,122.56,8.1,130.66,13.44,2023-05-25
Hamburger,7,43.88,3.37,47.25,4.87,2023-05-25
Double Cheeseburger,1,11.26,0.0,11.26,1.24,2023-05-25
Bud Light DFT,2,10.8,0.0,10.8,1.2,2023-05-25
Boneless Wings & Fries,7,56.77,0.0,56.77,6.23,2023-05-25
Diet Coke BTL,2,6.32,0.0,6.32,0.68,2023-05-25
Fountain Soda,9,24.39,0.0,24.39,2.61,2023-05-25
Popcorn,2,7.22,0.0,7.22,0.78,2023-05-25
Fries,6,24.36,0.0,24.36,2.64,2023-05-25
Bottled Water,5,11.3,0.0,11.3,1.2,2023-05-25
Poutine,9,81.09,0.0,81.09,8.91,2023-05-25
Fried Dough w/ Chicken,3,27.03,0.0,27.03,2.97,2023-05-25
Cotton Candy,1,3.61,0.0,3.61,0.39,2023-05-25
Season Ticket Holder Soda,13,11.7,0.0,11.7,1.3,2023-05-25
Peanuts,3,10.83,0.0,10.83,1.17,2023-05-25
Poutine w/ Chicken,10,117.2,0.0,117.2,12.8,2023-05-25
Fried Dough,33,207.96,0.0,207.96,23.04,2023-05-25
Cracker Jacks,1,4.51,0.0,4.51,0.49,2023-05-25
14th Star Baseline,2,16.0,0.0,16.0,0.0,2023-05-25
Barefoot Pinot Grigio,1,8.0,0.0,8.0,0.0,2023-05-25
Kona Golden Ale DFT,5,30.0,0.0,30.0,0.0,2023-05-25
Cider Can,2,16.0,0.0,16.0,0.0,2023-05-25
Devil's Backbone Margarita,3,36.0,0.0,36.0,0.0,2023-05-25
Cutwater Tiki Rum Punch,1,12.0,0.0,12.0,0.0,2023-05-25
Dippin Dots,40,252.0,0.0,252.0,28.0,2023-05-25
Champ Logo Hoodie- Graphite Heather- L,1,49.99,0.0,49.99,0.0,2023-05-25
Long Trail Ale DFT,12,96.0,0.0,96.0,0.0,2023-05-25
Stella Can,4,32.0,0.0,32.0,0.0,2023-05-25
14th Star Baseline,11,88.0,0.0,88.0,0.0,2023-05-25
White Claw Mango,5,40.0,0.0,40.0,0.0,2023-05-25
Bottled Water,1,2.26,0.0,2.26,0.24,2023-05-25
Rescue Club Pils N/A,1,7.21,0.0,7.21,0.79,2023-05-25
Fanta BTL,1,3.16,0.0,3.16,0.34,2023-05-25
Barefoot Chardonnay,3,24.0,0.0,24.0,0.0,2023-05-25
Kona Golden Ale DFT,13,78.0,0.0,78.0,0.0,2023-05-25
ZG Conehead IPA DFT,26,208.0,0.0,208.0,0.0,2023-05-25
ZG Lake Monster Light DFT,42,252.0,0.0,252.0,0.0,2023-05-25
Cracker Jacks,2,10.0,0.0,10.0,0.0,2023-05-25
Devil's Backbone Margarita,2,24.0,0.0,24.0,0.0,2023-05-25
von Trapp Helles DFT,6,48.0,0.0,48.0,0.0,2023-05-25
Citizen Cider DFT,4,28.84,0.0,28.84,3.16,2023-05-25
Peanuts,1,4.0,0.0,4.0,0.0,2023-05-25
14th Star Mexican Lager DFT,5,40.0,0.0,40.0,0.0,2023-05-25
Cutwater Tiki Rum Punch,2,24.0,0.0,24.0,0.0,2023-05-25
Bud Light DFT,19,114.0,0.0,114.0,0.0,2023-05-25
Long Trail Blackberry DFT,18,144.0,0.0,144.0,0.0,2023-05-25
Barefoot Pinot Grigio,1,8.0,0.0,8.0,0.0,2023-05-25
Good Measure Cream Ale DFT,7,42.0,0.0,42.0,0.0,2023-05-25
Fiddlehead IPA DFT,58,464.0,0.0,464.0,0.0,2023-05-25
Budweiser DFT,13,78.0,0.0,78.0,0.0,2023-05-25
Bottled Water,5,12.5,0.0,12.5,0.0,2023-05-25
Nutrl Watermelon Vodka,6,60.0,0.0,60.0,0.0,2023-05-25
Rescue Club IPA N/A,2,16.0,0.0,16.0,0.0,2023-05-25
Citizen Cider DFT,22,176.0,0.0,176.0,0.0,2023-05-25
Vermont Expos Tee- Heather Gray- L,4,103.96,0.0,103.96,0.0,2023-05-25
Champ Blanket,2,50.0,0.0,50.0,5.5,2023-05-25
Champ Logo Hoodie- Navy- L,1,39.99,10.0,49.99,0.0,2023-05-25
Lemon Sorbet,1,3.61,0.0,3.61,0.39,2023-05-25
Hot Dog & Soda,4,0.0,0.0,0.0,0.0,2023-05-25
Hamburger,3,20.25,0.0,20.25,2.25,2023-05-25
OC Baseline Classic Expos Cap- Royal,1,23.99,0.0,23.99,0.0,2023-05-25
Champ Logo Tee Vintage Black- M,1,25.99,0.0,25.99,0.0,2023-05-25
Beer. Baseball. Tee- Vintage Navy-XL,1,25.99,0.0,25.99,0.0,2023-05-25
Champ Logo Keychain,1,6.0,0.0,6.0,0.66,2023-05-25
Home Plate Scoop Tee-S,1,31.99,0.0,31.99,0.0,2023-05-25
Champ-ta Claus,3,47.97,0.0,47.97,5.28,2023-05-25
Nike Therma Hoodie- 2XL,1,65.0,0.0,65.0,0.0,2023-05-25
Primary Logo Tee- Gray- M,3,72.77,5.2,77.97,0.0,2023-05-25
White/Silver Metallic Souvenir Baseball,4,32.0,0.0,32.0,3.52,2023-05-25
White Replica Jersey- S,1,80.0,0.0,80.0,0.0,2023-05-25
Small Baseball Card Pack,7,20.93,0.0,20.93,2.31,2023-05-25
VLM Dog Leash- L,1,15.99,4.0,19.99,1.76,2023-05-25
0-3 mos,1,25.99,0.0,25.99,0.0,2023-05-25
Ladie's Racerback Tank Top- Midnight Blue- L,1,23.99,6.0,29.99,0.0,2023-05-25
Soft Champ Logo Baseball,2,11.98,0.0,11.98,1.32,2023-05-25
Champ Logo Trucker- Royal Blue,1,24.99,0.0,24.99,0.0,2023-05-25
